article_id,title,user,ip,vote,content,ip_datetime,ip_state,group
M.1637480615.A.D60,[新聞] 高嘉瑜喊向高端四劑戰士道歉 陳時中拒絕,depo,223.140.187.221,推,還不是為了有台灣價值才打高端，又沒有人逼,223.140.187.221 11/21 17:58,Not Anonymous,16.0
M.1637480615.A.D60,[新聞] 高嘉瑜喊向高端四劑戰士道歉 陳時中拒絕,depo,223.140.187.221,→,你,223.140.187.221 11/21 17:58,Not Anonymous,16.0
M.1637493941.A.53E,[新聞] 獨家》高嘉瑜稱「出國補打疫苗政府應道,depo,11/21,推,高不要裝清高，自己選擇的有人有逼你打嗎,11/21 19:44,no ip,16.0
M.1637507133.A.3E4,Re: [新聞] 高嘉瑜稱「出國補打疫苗政府應道歉」 綠,zzzprince,114.43.163.69,推,民進黨敗選才會認錯 嘻嘻,114.43.163.69 11/22 08:50,Not Anonymous,16.0
M.1637603744.A.1C4,[轉錄] 梁文傑:等高嘉瑜選舉時 我也不支持了,wwpuma,11/23,推,不然你要支持國民黨還是民眾黨？,11/23 06:45,no ip,16.0
M.1637771910.A.4AB,Re: [新聞] 高嘉瑜因疫苗問題遭黨內圍剿？ 王世堅,depo,223.136.148.199,推,女神的標準會不會太低了，年紀又這麼大,223.136.148.199 11/25 07:21,Not Anonymous,16.0
M.1638099947.A.1CC,[新聞] 鄭文燦公投宣講超冷清　她點名高嘉瑜害慘,dostey,11/28,推,高嘉瑜從來都沒變 就是個投機仔 噁爛,11/28 22:02,no ip,16.0
M.1638227275.A.227,[問卦] 高嘉瑜遭家暴？新男友痛毆控制行動？,agong,111.71.214.66,→,會動手打女人的都xx,111.71.214.66 11/30 07:46,Not Anonymous,16.0
M.1638230444.A.8FE,[新聞] 高嘉瑜傳遭男友家暴　疑「親密影片」被,ch333,114.137.88.86,推,我猜說自己不小心傷到,114.137.88.86 11/30 08:04,Not Anonymous,16.0
M.1638230633.A.538,Re: [新聞] 高嘉瑜驚傳遭現任男友痛毆、控制行動！,ch333,114.137.88.86,推,女權遇到自己人都沒事,114.137.88.86 11/30 08:29,Not Anonymous,16.0
M.1638230633.A.538,Re: [新聞] 高嘉瑜驚傳遭現任男友痛毆、控制行動！,llgod,111.71.215.241,推,加入金色力量黨,111.71.215.241 11/30 08:45,Not Anonymous,16.0
M.1638230633.A.538,Re: [新聞] 高嘉瑜驚傳遭現任男友痛毆、控制行動！,vancepeng,111.71.212.113,推,算可憐欸 廢文寫的有夠無聊,111.71.212.113 11/30 09:56,Not Anonymous,16.0
M.1638230633.A.538,Re: [新聞] 高嘉瑜驚傳遭現任男友痛毆、控制行動！,vancepeng,111.71.212.113,→,政黑男神不要嘴喔,111.71.212.113 11/30 09:56,Not Anonymous,16.0
M.1638234362.A.F19,[新聞] 高嘉瑜認了遭握｢親密影片｣全身傷不敢報,ch333,114.137.88.86,推,精彩耶,114.137.88.86 11/30 09:07,Not Anonymous,16.0
M.1638242110.A.488,[新聞] 高嘉瑜首度發聲！「勇敢面對，希望不要再,haha98,111.71.212.34,推,關鍵新聞網不意外 一堆整天發廢文的文青,111.71.212.34 11/30 11:15,Possible Proxy,16.0
M.1638244252.A.993,[新聞] 遭爆痛毆高嘉瑜！林秉樞扯「喪母之痛」,ch333,114.137.88.86,推,文青之風,114.137.88.86 11/30 11:52,Not Anonymous,16.0
M.1638244652.A.5A5,[新聞] 高嘉瑜被爆打「卻噤聲」！　鄉民怒：社會,TZUYIC,42.77.237.43,推,我就問一句：民進黨婦女部有出來挺甲魚嗎,42.77.237.43 11/30 12:05,Not Anonymous,16.0
M.1638244652.A.5A5,[新聞] 高嘉瑜被爆打「卻噤聲」！　鄉民怒：社會,TZUYIC,42.77.237.43,→,如果婦女部也都沒出聲，那這件事就不重要,42.77.237.43 11/30 12:05,Not Anonymous,16.0
M.1638246123.A.F74,Re: [討論] ptt被高嘉瑜新聞洗板了,vancepeng,11/30,推,笑死 還在拗 有夠噁爛,11/30 17:36,no ip,16.0
M.1638246123.A.F74,Re: [討論] ptt被高嘉瑜新聞洗板了,vancepeng,11/30,→,政黑高雄之光欸,11/30 17:36,no ip,16.0
M.1638246983.A.AF4,[生活] 港湖女神高嘉瑜證實在板橋遭「家暴」 侯,lug0391,11/30,→,高-台北人、林-台南人，在新北被揍，跟侯有關?很幽默啊,11/30 14:54,no ip,16.0
M.1638246983.A.AF4,[生活] 港湖女神高嘉瑜證實在板橋遭「家暴」 侯,lug0391,11/30,→,難不成橘逾淮為枳，來新北就想揍人？哈哈,11/30 14:56,no ip,16.0
M.1638248609.A.FDA,[黑特] 什麼人看高嘉瑜被打會很爽的?,vancepeng,11/30,推,高雄塔綠班基進仔啊,11/30 14:20,no ip,16.0
M.1638248609.A.FDA,[黑特] 什麼人看高嘉瑜被打會很爽的?,vancepeng,11/30,推,明明政黑版出品還能扯八卦 笑死 果然蛇鼠一窩,11/30 19:05,no ip,16.0
M.1638248609.A.FDA,[黑特] 什麼人看高嘉瑜被打會很爽的?,vancepeng,11/30,→,如果你也是女性 希望你也可以被款待餒,11/30 19:05,no ip,16.0
M.1638252477.A.78B,[爆卦] 高嘉瑜家暴事件沒說到的幕後花絮,llgod,111.71.215.241,推,http://i.imgur.com/K5ZTdkH.jpg,111.71.215.241 11/30 14:30,Not Anonymous,16.0
M.1638253112.A.F06,[爆卦] 塔綠班歡慶高嘉瑜遭家暴！,vancepeng,111.71.212.113,推,政黑就畜生版啊 結果畜生版又一堆高雄,111.71.212.113 11/30 17:10,Not Anonymous,16.0
M.1638253112.A.F06,[爆卦] 塔綠班歡慶高嘉瑜遭家暴！,vancepeng,111.71.212.113,→,人 笑死,111.71.212.113 11/30 17:10,Not Anonymous,16.0
M.1638253112.A.F06,[爆卦] 塔綠班歡慶高嘉瑜遭家暴！,vancepeng,111.71.212.113,→,兩個GG黨鐵粉 ㄏ,111.71.212.113 11/30 17:10,Not Anonymous,16.0
M.1638253112.A.F06,[爆卦] 塔綠班歡慶高嘉瑜遭家暴！,vancepeng,111.71.212.113,→,都有mvpggyy還在反串 笑死,111.71.212.113 11/30 20:36,Not Anonymous,16.0
