article_id,title,user,ip,vote,content,ip_datetime,ip_state,group
M.1637767207.A.CEF,[新聞] 高嘉瑜因疫苗問題遭黨內圍剿？ 王世堅,jnecoj,49.216.225.144,推,假面魚,49.216.225.144 11/24 23:45,Not Anonymous,1.0
M.1638226710.A.148,[新聞] 高嘉瑜「被打到不成人形」身藏往死裡打,jnecoj,11/30,→,塔綠班又踐踏女性啦，我怎麼說又呢,11/30 11:10,no ip,1.0
M.1638230633.A.538,Re: [新聞] 高嘉瑜驚傳遭現任男友痛毆、控制行動！,Aequanimitas,60.251.61.53,推,允文允武XDDD,60.251.61.53 11/30 08:54,Possible Proxy,1.0
M.1638234362.A.F19,[新聞] 高嘉瑜認了遭握｢親密影片｣全身傷不敢報,jnecoj,49.216.225.137,推,塔綠班不愧是暴力團體，打女人毫不手軟,49.216.225.137 11/30 11:09,Possible Proxy,1.0
M.1638234362.A.F19,[新聞] 高嘉瑜認了遭握｢親密影片｣全身傷不敢報,jnecoj,49.216.225.137,→,有柯文哲拖地嚴重嗎,49.216.225.137 11/30 11:11,Possible Proxy,1.0
M.1638244252.A.993,[新聞] 遭爆痛毆高嘉瑜！林秉樞扯「喪母之痛」,asd00726,49.216.225.151,推,蔡英文政績+1,49.216.225.151 11/30 16:54,Possible Proxy,1.0
M.1638249249.A.B16,[新聞] 高嘉瑜上節目選台大美女...擇偶條件「不,asd00726,49.216.225.151,推,再皮啊 欠扁,49.216.225.151 11/30 13:40,Possible Proxy,1.0
M.1638252358.A.33E,Re: [新聞] 高嘉瑜傳遭男友家暴　疑「親密影片」被,chenliyu0410,27.242.70.249,→,讚讚讚,27.242.70.249 11/30 15:11,Not Anonymous,1.0
M.1638252477.A.78B,[爆卦] 高嘉瑜家暴事件沒說到的幕後花絮,chenliyu0410,27.242.70.249,→,我說那個傳單證據呢？,27.242.70.249 11/30 14:22,Not Anonymous,1.0
M.1638252477.A.78B,[爆卦] 高嘉瑜家暴事件沒說到的幕後花絮,jamison,223.139.237.254,推,有掛就推,223.139.237.254 11/30 14:31,Not Anonymous,1.0
M.1638252477.A.78B,[爆卦] 高嘉瑜家暴事件沒說到的幕後花絮,iamok329,39.12.218.58,噓,避重就輕,39.12.218.58 11/30 14:37,Not Anonymous,1.0
M.1638253112.A.F06,[爆卦] 塔綠班歡慶高嘉瑜遭家暴！,jnecoj,101.10.49.140,推,塔綠班真噁，婦女部集體變啞巴,101.10.49.140 11/30 14:50,Not Anonymous,1.0
M.1638253112.A.F06,[爆卦] 塔綠班歡慶高嘉瑜遭家暴！,lwswjs,49.216.177.153,推,菸黨真的愛批鬥,49.216.177.153 11/30 16:24,Not Anonymous,1.0
M.1638261399.A.EC4,Re: [新聞] 高嘉瑜傳遭男友家暴　疑「親密影片」被,chenliyu0410,27.242.70.249,推,血流成河,27.242.70.249 11/30 16:43,Not Anonymous,1.0
M.1638264596.A.7D2,[新聞] 高嘉瑜遭男友施暴 國民黨中央黨員：被打,Aequanimitas,49.216.177.138,推,不舉球渾身不對勁,49.216.177.138 11/30 17:38,Possible Proxy,1.0
M.1638264596.A.7D2,[新聞] 高嘉瑜遭男友施暴 國民黨中央黨員：被打,jnecoj,101.10.49.140,推,KMT 廢到笑,101.10.49.140 11/30 17:41,Not Anonymous,1.0
M.1638268949.A.3D2,[新聞] 高嘉瑜男友被起底 曾恐嚇前女友「殺死妳,Aequanimitas,36.224.30.164,推,極品台男 不過這眼光也是爛到流湯,36.224.30.164 11/30 18:53,Not Anonymous,1.0
M.1638270814.A.D6C,Re: [新聞] 被爆痛揍高嘉瑜 林秉樞過往評論曝光：嗆,asd00726,123.193.193.104,推,父權就是讚啦,123.193.193.104 11/30 19:54,Not Anonymous,1.0
M.1638281611.A.5A4,[新聞] 高嘉瑜前男友駁鬧靈堂　發聲明：窮盡所,lwswjs,49.216.177.153,推,果實有多重帳號的都是…..,49.216.177.153 12/01 01:09,Not Anonymous,1.0
M.1638291868.A.42B,Re: [爆卦] 馬文鈺喪禮鬧場 高嘉瑜本人報警抓人,kumori,123.194.15.245,→,朝聖,123.194.15.245 12/01 22:26,Not Anonymous,1.0
M.1638314104.A.853,[新聞] 打到高嘉瑜全身傷　「男友老家整晚亮燈,joe199277,49.217.241.135,推,被打成這樣還能去工作....,49.217.241.135 12/01 07:37,Possible Proxy,1.0
M.1638326160.A.404,Re: [爆卦] 馬文鈺喪禮鬧場 高嘉瑜本人報警抓人,kumori,125.230.153.218,→,..除非站方刪文 或著圖床刪圖 不然文章,125.230.153.218 12/01 10:42,Possibly Anonymous,1.0
M.1638326160.A.404,Re: [爆卦] 馬文鈺喪禮鬧場 高嘉瑜本人報警抓人,kumori,125.230.153.218,→,都用回復文章的方式備份 多到變系列文了,125.230.153.218 12/01 10:43,Possibly Anonymous,1.0
M.1638329725.A.75F,[新聞] 多圖／高嘉瑜遭男友林秉樞暴打「驚悚傷勢,knuckles1982,101.10.104.217,推,超慘…,101.10.104.217 12/01 14:11,Not Anonymous,1.0
M.1638329725.A.75F,[新聞] 多圖／高嘉瑜遭男友林秉樞暴打「驚悚傷勢,knuckles1982,101.10.104.217,→,結果綠側翼很多都在幫男生說話 三小,101.10.104.217 12/01 14:12,Not Anonymous,1.0
M.1638329725.A.75F,[新聞] 多圖／高嘉瑜遭男友林秉樞暴打「驚悚傷勢,jnecoj,101.10.49.140,推,垃圾，還囚禁欸,101.10.49.140 12/01 14:48,Not Anonymous,1.0
M.1638334649.A.005,[新聞] 林秉樞承認一時衝動打人 宣稱「高嘉瑜也有還手」,kumori,125.230.153.218,→,...真的把人當沙包,125.230.153.218 12/01 12:59,Possibly Anonymous,1.0
M.1638336937.A.7E6,[新聞] 承認曾幫高嘉瑜男友向總統府要輓聯 范雲,lwswjs,49.216.177.153,噓,怎麼什麼怪事都有你,49.216.177.153 12/01 16:31,Not Anonymous,1.0
M.1638337220.A.1FC,[新聞] 林秉樞終於坦承動粗 狡辯稱：高嘉瑜「先,jnecoj,101.10.49.140,→,綠圾網軍反咬主人，笑死,101.10.49.140 12/01 14:55,Not Anonymous,1.0
M.1638350517.A.803,[新聞] 高嘉瑜遭痛毆　坦承有傳不雅照「他要求我,joe199277,49.217.241.135,推,不好意思我幻想了一下,49.217.241.135 12/01 17:58,Possible Proxy,1.0
M.1638350517.A.803,[新聞] 高嘉瑜遭痛毆　坦承有傳不雅照「他要求我,joe199277,49.217.241.135,→,唉 斗S帥哥才有機會,49.217.241.135 12/01 17:58,Possible Proxy,1.0
M.1638354950.A.D85,[新聞] 嗆高嘉瑜「被打活該」　國民黨中央委員,jnecoj,101.10.49.140,→,色違塔綠班,101.10.49.140 12/01 18:56,Not Anonymous,1.0
M.1638357037.A.FD5,Re: [新聞] 新女友？高嘉瑜男友飯店被捕 1長髮女陪伴,jnecoj,101.10.49.140,推,原來是林秉摳,101.10.49.140 12/01 19:16,Not Anonymous,1.0
M.1638357037.A.FD5,Re: [新聞] 新女友？高嘉瑜男友飯店被捕 1長髮女陪伴,asd00726,49.216.225.151,推,有料,49.216.225.151 12/01 19:25,Possible Proxy,1.0
M.1638357037.A.FD5,Re: [新聞] 新女友？高嘉瑜男友飯店被捕 1長髮女陪伴,aaa89359,223.137.228.2,推,這就是我要的八卦板,223.137.228.2 12/01 19:58,Not Anonymous,1.0
M.1638357037.A.FD5,Re: [新聞] 新女友？高嘉瑜男友飯店被捕 1長髮女陪伴,oz01,49.216.225.129,噓,騙甲片價說沒被黑道黑過好像不太合理,49.216.225.129 12/01 21:36,Not Anonymous,1.0
M.1638357037.A.FD5,Re: [新聞] 新女友？高嘉瑜男友飯店被捕 1長髮女陪伴,iamok329,1.168.216.252,推,八卦板回來啦,1.168.216.252 12/02 00:25,Not Anonymous,1.0
M.1638357037.A.FD5,Re: [新聞] 新女友？高嘉瑜男友飯店被捕 1長髮女陪伴,k825324,111.82.252.43,推,有掛就推！,111.82.252.43 12/02 00:42,Not Anonymous,1.0
M.1638357037.A.FD5,Re: [新聞] 新女友？高嘉瑜男友飯店被捕 1長髮女陪伴,lwswjs,49.216.177.153,推,有掛,49.216.177.153 12/02 09:06,Not Anonymous,1.0
M.1638359610.A.436,[新聞] 高嘉瑜遭施暴1450出動？　前男友「小馬」,lwswjs,49.216.177.153,推,苦無證據啦,49.216.177.153 12/02 09:01,Not Anonymous,1.0
M.1638362674.A.703,Re: [新聞] 高嘉瑜遭施暴1450出動？　前男友「小馬」,jnecoj,101.10.49.140,→,派系內鬥齁，塔綠班吃屎到神智不清嗎,101.10.49.140 12/01 22:05,Not Anonymous,1.0
